K? n?ng m?m,??i s? tuy?n tính,Gi?i tích 1,Tin h?c ??i c??ng,V?t lý ?i?n t?,Gi?i tích 2,L?p trình nâng cao,Môn t? ch?n 1,Thi?t k? Web,Toán r?i r?c,C?u trúc d? li?u và gi?i thu?t,Ki?n trúc và t? ch?c máy tính,L?p trình h??ng ??i t??ng,Xác su?t th?ng kê,H? ?i?u hành,Công ngh? Java,C? s? d? li?u,Phân tích thi?t k? thu?t toán,X?p lo?i h?c t?p
C,A,B,A,B,A,A,A,A,A,B,A,A,C,B,A,A,A,Gi?i
B,B,B,A,C,C,A,A,C,B,C,D,B,A,B,A,B,A,Khá
C,C,C,C,B,D,A,B,C,C,C,C,D,C,A,A,B,B,Khá
B,A,C,B,C,C,B,A,B,D,C,C,A,C,C,A,B,B,Khá
B,B,B,B,B,A,B,A,A,B,B,B,A,A,A,A,B,A,Gi?i
B,C,C,C,D,D,C,D,C,D,C,C,D,D,D,B,D,B,Khá
A,B,C,B,B,C,B,B,A,A,B,C,A,A,A,A,B,A,Gi?i
C,B,B,C,B,C,C,B,C,B,B,B,A,B,A,B,B,B,Gi?i
A,A,A,B,A,A,A,B,B,A,B,C,A,B,A,B,A,A,Xu?t s?c
B,B,C,B,C,B,C,B,D,A,B,B,D,C,B,A,C,A,Khá
D,C,D,A,C,B,C,B,D,D,C,D,C,C,C,B,C,A,Khá
C,D,D,A,C,C,D,B,C,D,C,C,A,C,A,B,D,B,Khá
C,C,B,C,C,B,C,B,C,C,C,C,B,C,A,B,B,B,Khá
C,B,C,B,B,C,C,A,B,A,C,A,A,D,B,B,A,B,Gi?i
A,A,A,C,A,A,A,B,C,A,D,A,A,B,A,B,A,A,Gi?i
B,B,B,C,A,A,A,A,B,A,B,A,A,A,A,B,B,A,Gi?i
D,C,B,C,B,B,A,D,C,C,C,B,B,B,B,A,A,B,Khá
B,B,A,C,A,A,C,A,A,A,B,B,A,B,A,B,B,A,Gi?i
C,C,C,B,B,A,A,B,C,B,C,C,A,D,A,B,B,B,Khá
B,B,D,C,C,B,D,B,B,A,C,C,A,D,A,B,C,A,Khá
B,A,B,D,B,B,C,B,D,B,C,C,C,C,B,B,D,B,Khá
B,B,B,C,B,A,A,A,B,C,B,A,B,B,A,B,A,A,Gi?i
B,D,C,A,C,A,A,A,A,A,A,B,A,D,C,A,B,A,Gi?i
B,B,B,B,A,A,A,A,A,A,C,A,A,C,A,A,A,B,Gi?i
B,B,C,A,A,B,A,B,B,A,C,B,A,A,A,B,A,A,Gi?i
B,C,B,C,A,A,B,A,A,A,C,A,A,A,A,B,B,A,Gi?i
A,A,A,A,A,A,A,B,A,A,B,A,A,A,A,A,A,A,Xu?t s?c
B,C,C,D,B,C,D,B,D,C,D,B,C,C,B,B,D,B,Khá
C,C,C,C,C,C,A,B,D,C,B,C,B,B,B,A,C,B,Khá
D,B,B,B,A,A,A,A,C,A,C,B,B,A,A,B,A,B,Gi?i
C,D,C,B,A,C,B,A,D,B,C,C,B,D,C,A,C,B,Khá
A,B,C,A,A,A,A,A,B,A,B,B,A,D,A,A,B,A,Gi?i
C,D,D,C,D,D,C,B,D,C,C,C,C,D,D,A,C,B,Khá
B,D,C,D,B,B,B,B,D,D,B,C,C,D,D,B,D,C,Trung bình
B,B,C,C,C,C,A,B,B,C,C,B,A,C,A,B,D,B,Khá
C,C,A,C,B,D,D,B,C,C,C,D,B,C,D,B,C,B,Khá
B,B,D,B,B,C,D,B,C,D,C,D,D,D,C,B,C,B,Khá
A,B,B,A,A,A,C,B,C,B,C,B,A,A,A,A,B,B,Khá
