mssv,HK 1,HK 1 dat,HK 1 hoc lai,HK 2,HK 2 dat,HK 2 hoc lai,HK 3,HK 3 dat,HK 3 hoc lai,HK 4,HK 4 dat,HK 4 hoc lai,HK 5,HK 5 dat,HK 5 hoc lai,HK 6,HK 6 dat,HK 6 hoc lai,HK 7,HK 7 dat,HK 7 hoc lai,HK 8,HK 8 dat,HK 8 hoc lai,xep_loai_hoc_tap
181201589,6.0,11,2,5.3,12,0,5.4,19,0,5.4,17,0,6.5,18,0,7.3,21,0,8.2,18,0,7.7,12,0,Trung binh
181210278,6.4,13,0,4.7,12,0,5.9,16,3,6.1,12,5,6.4,18,0,7.8,18,3,7.4,18,0,8.1,2,10,Khá
181203887,7.4,13,0,8.2,12,0,7.4,19,0,8.2,17,0,7.0,18,0,7.7,21,0,8.3,18,0,8.3,12,0,Khá
181203481,6.7,13,0,8.8,9,3,8.0,19,0,8.5,17,0,7.8,18,0,8.9,21,0,9.0,18,0,9.4,12,0,Gioi
181230217,6.7,13,0,6.3,12,0,7.1,17,2,7.4,17,0,6.7,18,0,7.8,21,0,8.2,18,0,8.1,12,0,Khá
181202718,7.2,13,0,7.8,9,3,6.0,19,0,7.9,17,0,6.0,18,0,7.6,21,0,8.0,18,0,8.2,12,0,Khá
181200697,6.0,13,0,5.8,12,0,8.2,19,0,8.5,17,0,7.8,18,0,9.0,21,0,8.8,18,0,9.1,12,0,Gioi
181203234,5.1,10,3,6.6,6,6,5.7,16,3,5.5,15,2,5.9,16,2,6.7,21,0,6.8,18,0,8.2,12,0,Trung binh
181202286,6.1,11,2,6.5,9,3,6.5,19,0,6.2,17,0,7.5,18,0,7.7,21,0,8.4,18,0,8.3,12,0,Khá
181201503,6.1,13,0,6.0,9,3,6.2,19,0,6.8,17,0,6.5,18,0,7.5,21,0,8.1,18,0,6.8,12,0,Khá
181201841,7.3,13,0,7.4,12,0,5.8,19,0,6.1,17,0,6.2,18,0,7.6,18,3,8.0,18,0,8.6,12,0,Khá
181202681,6.4,11,2,6.9,9,3,6.0,13,6,6.9,17,0,6.5,18,0,7.3,21,0,7.7,18,0,8.6,12,0,Khá
181203411,6.3,11,2,6.8,9,3,6.7,19,0,7.0,17,0,6.5,18,0,6.6,21,0,7.8,18,0,6.8,12,0,Khá
181201630,7.7,13,0,8.1,12,0,8.3,19,0,9.1,17,0,8.8,18,0,9.1,21,0,9.0,18,0,9.0,12,0,Gioi
181202600,8.9,13,0,9.3,12,0,8.6,19,0,9.6,17,0,8.6,18,0,9.1,21,0,8.9,18,0,9.3,12,0,Xuat sac
181202287,7.9,13,0,7.3,12,0,8.6,19,0,8.5,17,0,8.2,18,0,9.0,21,0,9.5,18,0,9.1,12,0,Gioi
181202480,7.5,13,0,8.7,9,3,7.2,19,0,7.7,17,0,6.4,18,0,7.6,21,0,8.0,18,0,8.0,12,0,Khá
181203997,6.1,10,3,6.7,12,0,5.5,16,3,6.5,17,0,5.9,16,2,6.3,18,3,7.6,18,0,8.2,2,10,Trung binh
181201824,7.3,13,0,7.0,12,0,6.8,19,0,6.9,17,0,6.4,18,0,7.0,21,0,7.7,18,0,8.7,12,0,Khá
181200752,6.4,13,0,6.4,12,0,6.6,19,0,7.6,17,0,7.6,18,0,7.9,21,0,8.9,18,0,8.9,12,0,Khá
181211533,6.3,13,0,6.9,9,3,6.7,11,8,7.1,14,3,6.6,18,0,8.4,18,3,7.5,18,0,8.5,12,0,Khá
181203962,9.3,13,0,9.8,12,0,7.9,19,0,9.9,17,0,8.4,18,0,9.3,21,0,9.1,18,0,8.9,12,0,Xuat sac
181200448,8.0,13,0,7.4,12,0,8.1,19,0,8.6,17,0,7.7,18,0,8.1,21,0,8.8,18,0,7.8,12,0,Gioi
181202264,8.4,13,0,8.2,12,0,8.3,19,0,8.8,17,0,8.6,18,0,9.3,21,0,8.6,18,0,8.7,12,0,Gioi
181210075,7.7,13,0,6.7,12,0,8.0,19,0,8.3,17,0,8.3,18,0,7.8,21,0,8.3,18,0,8.4,12,0,Gioi
181202626,6.5,13,0,7.2,12,0,7.4,17,2,7.9,17,0,7.5,18,0,7.5,21,0,8.1,18,0,8.3,12,0,Khá
181200857,8.0,13,0,8.0,12,0,6.5,19,0,8.2,17,0,6.9,18,0,7.6,21,0,8.3,18,0,8.2,12,0,Khá
181203522,7.2,13,0,7.0,12,0,6.1,19,0,6.3,17,0,6.1,16,2,7.1,15,6,6.8,18,0,8.1,2,10,Khá
181230078,7.0,13,0,6.7,12,0,6.7,19,0,7.7,17,0,8.0,18,0,8.4,21,0,8.0,18,0,8.7,12,0,Khá
181202483,6.1,13,0,6.4,12,0,5.7,19,0,6.0,17,0,7.0,15,3,7.5,21,0,8.8,18,0,8.3,12,0,Khá
181200616,7.5,13,0,7.8,12,0,6.9,19,0,8.1,14,3,7.0,18,0,7.3,21,0,7.8,18,0,7.4,12,0,Khá
181202249,9.1,13,0,8.3,12,0,8.4,19,0,9.5,17,0,8.8,18,0,9.3,21,0,8.9,18,0,9.0,12,0,Xuat sac
181211884,6.6,13,0,7.1,12,0,6.4,19,0,7.3,14,3,6.9,18,0,7.4,21,0,8.1,18,0,8.6,12,0,Khá
181203050,6.0,13,0,6.1,9,3,5.3,19,0,6.3,17,0,6.8,15,3,6.8,21,0,6.8,18,0,8.0,12,0,Trung binh
